Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
APBA2		15q13.1	AMP	1	509	0.2%	No
APBB2		4p14-p13	HOMDEL	1	509	0.2%	No
APBB2		4p14-p13	AMP	1	509	0.2%	No
APC		5q22.2	HOMDEL	1	509	0.2%	Yes
APCS		1q23.2	AMP	1	509	0.2%	No
BIRC5		17q25.3	AMP	1	509	0.2%	No
APLP2		11q24.3	HOMDEL	1	509	0.2%	No
APLP2		11q24.3	AMP	1	509	0.2%	No
APOA1		11q23.3	HOMDEL	1	509	0.2%	No
APOA1		11q23.3	AMP	1	509	0.2%	No
APOA2		1q23.3	AMP	1	509	0.2%	No
APOA4		11q23.3	HOMDEL	1	509	0.2%	No
APOA4		11q23.3	AMP	1	509	0.2%	No
APOB		2p24.1	HOMDEL	1	509	0.2%	No
APOC1		19q13.32	AMP	1	509	0.2%	No
APOC1P1		19q13.32	AMP	1	509	0.2%	No
APOC2		19q13.32	AMP	1	509	0.2%	No
APOC3		11q23.3	HOMDEL	1	509	0.2%	No
APOC3		11q23.3	AMP	1	509	0.2%	No
APOC4		19q13.32	AMP	1	509	0.2%	No
APOE		19q13.32	AMP	1	509	0.2%	No
APOH		17q24.2	AMP	1	509	0.2%	No
APP		21q21.3	HOMDEL	1	509	0.2%	No
KLK3		19q13.33	HOMDEL	1	509	0.2%	No
FASLG		1q24.3	AMP	1	509	0.2%	No
AQP4		18q11.2	HOMDEL	1	509	0.2%	No
AQP4		18q11.2	AMP	1	509	0.2%	No
ARCN1		11q23.3	HOMDEL	1	509	0.2%	No
ARCN1		11q23.3	AMP	1	509	0.2%	No
AREG		4q13.3	AMP	1	509	0.2%	No
ARF1		1q42.13	AMP	1	509	0.2%	No
ARL4D		17q21.31	AMP	1	509	0.2%	No
ARG1		6q23.2	HOMDEL	1	509	0.2%	No
ARG2		14q24.1	AMP	1	509	0.2%	No
RHOB		2p24.1	HOMDEL	1	509	0.2%	No
ARHGAP5		14q12	AMP	1	509	0.2%	No
ARHGDIA		17q25.3	AMP	1	509	0.2%	No
ARHGDIG		16p13.3	AMP	1	509	0.2%	No
RHOH		4p14	AMP	1	509	0.2%	Yes
PHOX2A		11q13.4	HOMDEL	1	509	0.2%	No
ARNT		1q21.3	AMP	1	509	0.2%	Yes
ARRB1		11q13.4	HOMDEL	1	509	0.2%	No
ART1		11p15.4	AMP	1	509	0.2%	No
ART3		4q21.1|4p15.1-p14	AMP	1	509	0.2%	No
ASL		7q11.21	AMP	1	509	0.2%	No
ASNA1		19p13.13	AMP	1	509	0.2%	No
ASPH		8q12.3	HOMDEL	1	509	0.2%	No
ASS1		9q34.11	HOMDEL	1	509	0.2%	No
ASTN1		1q25.2	AMP	1	509	0.2%	No
SERPINC1		1q25.1	AMP	1	509	0.2%	No
ATF3		1q32.3	AMP	1	509	0.2%	No
ATIC		2q35	HOMDEL	1	509	0.2%	Yes
ATIC		2q35	AMP	1	509	0.2%	Yes
ATM		11q22.3	HOMDEL	1	509	0.2%	Yes
ATM		11q22.3	AMP	1	509	0.2%	Yes
RERE		1p36.23	HOMDEL	1	509	0.2%	No
ATP1A2		1q23.2	AMP	1	509	0.2%	No
ATP12A		13q12.12|13q12.1-q12.3	HOMDEL	1	509	0.2%	No
ATP1A4		1q23.2	AMP	1	509	0.2%	No
ATP1B1		1q24.2	AMP	1	509	0.2%	No
FXYD2		11q23.3	HOMDEL	1	509	0.2%	No
FXYD2		11q23.3	AMP	1	509	0.2%	No
ATP2A1		16p11.2	HOMDEL	1	509	0.2%	No
ATP2B4		1q32.1	AMP	1	509	0.2%	No
ATP5F1A		18q21.1	AMP	1	509	0.2%	No
ATP5F1C		10p14	AMP	1	509	0.2%	No
ATP5F1D		19p13.3	HOMDEL	1	509	0.2%	No
ATP5MC1		17q21.32	AMP	1	509	0.2%	No
ATP6V1A		3q13.31	AMP	1	509	0.2%	No
ATP6V1C1		8q22.3	HOMDEL	1	509	0.2%	No
ATP6V0A1		17q21.2	AMP	1	509	0.2%	No
ATP7B		13q14.3	HOMDEL	1	509	0.2%	No
ATR		3q23	HOMDEL	1	509	0.2%	Yes
AZU1		19p13.3	HOMDEL	1	509	0.2%	No
AZU1		19p13.3	AMP	1	509	0.2%	No
B2M		15q21.1	HOMDEL	1	509	0.2%	Yes
BACH1		21q21.3	HOMDEL	1	509	0.2%	No
BAGE		21p11.1	HOMDEL	1	509	0.2%	No
ADGRB3		6q12-q13	HOMDEL	1	509	0.2%	No
NKX3-2		4p15.33	AMP	1	509	0.2%	No
BARD1		2q35	AMP	1	509	0.2%	Yes
BAX		19q13.33	HOMDEL	1	509	0.2%	Yes
BBS1		11q13.2	AMP	1	509	0.2%	No
BCAT2		19q13.33	HOMDEL	1	509	0.2%	No
BCKDHB		6q14.1	HOMDEL	1	509	0.2%	No
BCL2		18q21.33	HOMDEL	1	509	0.2%	Yes
BCL2		18q21.33	AMP	1	509	0.2%	Yes
BCL3		19q13.32	AMP	1	509	0.2%	Yes
BCL9		1q21.2	AMP	1	509	0.2%	Yes
HCN2		19p13.3	HOMDEL	1	509	0.2%	No
HCN2		19p13.3	AMP	1	509	0.2%	No
BCS1L		2q35	HOMDEL	1	509	0.2%	No
BCS1L		2q35	AMP	1	509	0.2%	No
BGLAP		1q22	AMP	1	509	0.2%	No
PRDM1		6q21	HOMDEL	1	509	0.2%	Yes
PRDM1		6q21	AMP	1	509	0.2%	Yes
BLMH		17q11.2	AMP	1	509	0.2%	No
CXCR5		11q23.3	HOMDEL	1	509	0.2%	No
CXCR5		11q23.3	AMP	1	509	0.2%	No
BMP5		6p12.1	HOMDEL	1	509	0.2%	No
BMP5		6p12.1	AMP	1	509	0.2%	No
BMP8B		1p34.2	AMP	1	509	0.2%	No
BNIP3		10q26.3	HOMDEL	1	509	0.2%	No
DST		6p12.1	HOMDEL	1	509	0.2%	No
DST		6p12.1	AMP	1	509	0.2%	No
FOXL2		3q22.3	HOMDEL	1	509	0.2%	Yes
BPGM		7q33	AMP	1	509	0.2%	No
BRCA1		17q21.31	AMP	1	509	0.2%	Yes
BRCA2		13q13.1	HOMDEL	1	509	0.2%	Yes
ZFP36L1		14q24.1	AMP	1	509	0.2%	Yes
ZFP36L2		2p21	HOMDEL	1	509	0.2%	No
BSG		19p13.3	HOMDEL	1	509	0.2%	No
BSG		19p13.3	AMP	1	509	0.2%	No
BST1		4p15.32	AMP	1	509	0.2%	No
BTC		4q13.3	AMP	1	509	0.2%	No
KLF9		9q21.12	AMP	1	509	0.2%	No
BUB1B		15q15.1	HOMDEL	1	509	0.2%	Yes
C1QA		1p36.12	HOMDEL	1	509	0.2%	No
C1QB		1p36.12	HOMDEL	1	509	0.2%	No
C1QC		1p36.12	HOMDEL	1	509	0.2%	No
C3		19p13.3	HOMDEL	1	509	0.2%	No
C3		19p13.3	AMP	1	509	0.2%	No
CAPN5		11q13.5	HOMDEL	1	509	0.2%	No
CAPN5		11q13.5	AMP	1	509	0.2%	No
C8G		9q34.3	AMP	1	509	0.2%	No
MYRF		11q12.2	HOMDEL	1	509	0.2%	No
TMEM258		11q12.2	HOMDEL	1	509	0.2%	No
DAGLA		11q12.2	HOMDEL	1	509	0.2%	No
FMNL1		17q21.31	AMP	1	509	0.2%	No
LDLRAD4		18p11.21	AMP	1	509	0.2%	No
PTTG1IP		21q22.3	HOMDEL	1	509	0.2%	No
CA4		17q23.1	AMP	1	509	0.2%	No
CA6		1p36.23	HOMDEL	1	509	0.2%	No
CA7		16q22.1	AMP	1	509	0.2%	No
CA8		8q12.1	HOMDEL	1	509	0.2%	No
CA11		19q13.33	HOMDEL	1	509	0.2%	No
CACNA1B		9q34.3	AMP	1	509	0.2%	No
CACNA1E		1q25.3	AMP	1	509	0.2%	No
CACNB1		17q12	AMP	1	509	0.2%	No
CACNG1		17q24.2	AMP	1	509	0.2%	No
CALB2		16q22.2	AMP	1	509	0.2%	No
CALD1		7q33	AMP	1	509	0.2%	No
CALM2		2p21	HOMDEL	1	509	0.2%	No
CALM3		19q13.32	HOMDEL	1	509	0.2%	No
CALML3		10p15.1	AMP	1	509	0.2%	No
CAMK4		5q22.1	HOMDEL	1	509	0.2%	No
CAPN2		1q41	AMP	1	509	0.2%	No
CAPN3		15q15.1	HOMDEL	1	509	0.2%	No
CASP1		11q22.3	HOMDEL	1	509	0.2%	No
CASP1		11q22.3	AMP	1	509	0.2%	No
CASP4		11q22.3	HOMDEL	1	509	0.2%	No
CASP4		11q22.3	AMP	1	509	0.2%	No
CASP5		11q22.3	HOMDEL	1	509	0.2%	No
CASP5		11q22.3	AMP	1	509	0.2%	No
CASP8		2q33.1	HOMDEL	1	509	0.2%	Yes
CASP9		1p36.21	HOMDEL	1	509	0.2%	No
CASP10		2q33.1	HOMDEL	1	509	0.2%	No
CASQ1		1q23.2	AMP	1	509	0.2%	No
CASR		3q13.33-q21.1	AMP	1	509	0.2%	No
CAT		11p13	AMP	1	509	0.2%	No
RUNX1		21q22.12	HOMDEL	1	509	0.2%	Yes
RUNX3		1p36.11	HOMDEL	1	509	0.2%	No
CBL		11q23.3	HOMDEL	1	509	0.2%	Yes
CBL		11q23.3	AMP	1	509	0.2%	Yes
CBLB		3q13.11	AMP	1	509	0.2%	Yes
SERPINH1		11q13.5	HOMDEL	1	509	0.2%	No
KYAT1		9q34.11	HOMDEL	1	509	0.2%	No
CCKAR		4p15.2	AMP	1	509	0.2%	No
CCNC		6q16.2	HOMDEL	1	509	0.2%	No
CCND2		12p13.32	AMP	1	509	0.2%	Yes
CCNG2		4q21.1	AMP	1	509	0.2%	No
CD1A		1q23.1	AMP	1	509	0.2%	No
CD1B		1q23.1	AMP	1	509	0.2%	No
CD1C		1q23.1	AMP	1	509	0.2%	No
CD1D		1q23.1	AMP	1	509	0.2%	No
CD1E		1q23.1	AMP	1	509	0.2%	No
CD3D		11q23.3	HOMDEL	1	509	0.2%	No
CD3E		11q23.3	HOMDEL	1	509	0.2%	No
CD3G		11q23.3	HOMDEL	1	509	0.2%	No
CD247		1q24.2	AMP	1	509	0.2%	No
CD5L		1q23.1	AMP	1	509	0.2%	No
CD7		17q25.3	AMP	1	509	0.2%	No
CD19		16p11.2	HOMDEL	1	509	0.2%	No
CD28		2q33.2	HOMDEL	1	509	0.2%	Yes
CD80		3q13.33	AMP	1	509	0.2%	No
CD86		3q13.33	AMP	1	509	0.2%	No
TNFRSF8		1p36.22	HOMDEL	1	509	0.2%	No
TNFRSF8		1p36.22	AMP	1	509	0.2%	No
CD33		19q13.41	HOMDEL	1	509	0.2%	No
SIGLEC6		19q13.41	HOMDEL	1	509	0.2%	No
CD34		1q32.2	AMP	1	509	0.2%	No
SCARB1		12q24.31	AMP	1	509	0.2%	No
SCARB2		4q21.1	AMP	1	509	0.2%	No
CD37		19q13.33	HOMDEL	1	509	0.2%	No
CD38		4p15.32	AMP	1	509	0.2%	No
ENTPD2		9q34.3	AMP	1	509	0.2%	No
ENTPD5		14q24.3	HOMDEL	1	509	0.2%	No
CD44		11p13	AMP	1	509	0.2%	No
CD47		3q13.12	AMP	1	509	0.2%	No
CD48		1q23.3	AMP	1	509	0.2%	No
CD58		1p13.1	HOMDEL	1	509	0.2%	Yes
CD59		11p13	AMP	1	509	0.2%	No
CD70		19p13.3	HOMDEL	1	509	0.2%	Yes
CD79B		17q23.3	AMP	1	509	0.2%	Yes
CDA		1p36.12	HOMDEL	1	509	0.2%	No
CDK11B		1p36.33	HOMDEL	1	509	0.2%	No
CDC5L		6p21.1	AMP	1	509	0.2%	No
CDC6		17q21.2	AMP	1	509	0.2%	No
CDC27		17q21.32	AMP	1	509	0.2%	No
CDC34		19p13.3	HOMDEL	1	509	0.2%	No
CDC34		19p13.3	AMP	1	509	0.2%	No
CDC42		1p36.12	HOMDEL	1	509	0.2%	Yes
CDH2		18q12.1	HOMDEL	1	509	0.2%	No
CDH2		18q12.1	AMP	1	509	0.2%	No
CDH7		18q22.1	HOMDEL	1	509	0.2%	No
CDH7		18q22.1	AMP	1	509	0.2%	No
CDH16		16q22.1	AMP	1	509	0.2%	No
CDK3		17q25.1	AMP	1	509	0.2%	No
CDK4		12q14.1	AMP	1	509	0.2%	Yes
CDK8		13q12.13	HOMDEL	1	509	0.2%	Yes
CDK8		13q12.13	AMP	1	509	0.2%	Yes
CDKN2D		19p13.2	HOMDEL	1	509	0.2%	No
CD52		1p36.11	HOMDEL	1	509	0.2%	No
CDX2		13q12.2	HOMDEL	1	509	0.2%	Yes
CEBPB		20q13.13	AMP	1	509	0.2%	No
CENPF		1q41	AMP	1	509	0.2%	No
CTSC		11q14.2	AMP	1	509	0.2%	No
CGB3		19q13.33	HOMDEL	1	509	0.2%	No
CHAD		17q21.33	AMP	1	509	0.2%	No
RCBTB2		13q14.2	HOMDEL	1	509	0.2%	No
RCC1		1p35.3	HOMDEL	1	509	0.2%	No
AKR1C4		10p15.1	AMP	1	509	0.2%	No
CHEK1		11q24.2	HOMDEL	1	509	0.2%	Yes
CHEK1		11q24.2	AMP	1	509	0.2%	Yes
CHM		Xq21.2	AMP	1	509	0.2%	No
CHML		1q43	AMP	1	509	0.2%	No
CHN1		2q31.1	HOMDEL	1	509	0.2%	Yes
CHRM2		7q33	AMP	1	509	0.2%	No
LYST		1q42.3	AMP	1	509	0.2%	No
CHRM3		1q43	AMP	1	509	0.2%	No
CHRNA7		15q13.3	AMP	1	509	0.2%	No
CHRNB2		1q21.3	AMP	1	509	0.2%	No
CHRND		2q37.1	HOMDEL	1	509	0.2%	No
CHRNG		2q37.1	HOMDEL	1	509	0.2%	No
CIDEA		18p11.21|18	AMP	1	509	0.2%	No
CIRBP		19p13.3	HOMDEL	1	509	0.2%	No
CKM		19q13.32	HOMDEL	1	509	0.2%	No
CKMT1B		15q15.3	HOMDEL	1	509	0.2%	No
ERCC8		5q12.1	AMP	1	509	0.2%	No
CKS1B		1q21.3	AMP	1	509	0.2%	Yes
CKS2		9q22.2	AMP	1	509	0.2%	No
AP2S1		19q13.32	HOMDEL	1	509	0.2%	No
CLCN5		Xp11.23	HOMDEL	1	509	0.2%	No
CLCN6		1p36.22	HOMDEL	1	509	0.2%	No
CLCNKA		1p36.13	HOMDEL	1	509	0.2%	No
CLCNKB		1p36.13	HOMDEL	1	509	0.2%	No
CLK1		2q33.1	HOMDEL	1	509	0.2%	No
CLK2		1q22	AMP	1	509	0.2%	No
CLK2P1		7p15.3	AMP	1	509	0.2%	No
CLN3		16p12.1	HOMDEL	1	509	0.2%	No
CLNS1A		11q14.1	HOMDEL	1	509	0.2%	No
CLPTM1		19q13.32	AMP	1	509	0.2%	No
CLTC		17q23.1	AMP	1	509	0.2%	Yes
CCR6		6q27	HOMDEL	1	509	0.2%	No
CCR7		17q21.2	AMP	1	509	0.2%	No
ABCC2		10q24.2	HOMDEL	1	509	0.2%	No
CNGA1		4p12	AMP	1	509	0.2%	No
CNN1		19p13.2	AMP	1	509	0.2%	No
CNN2		19p13.3	HOMDEL	1	509	0.2%	No
CNP		17q21.2	AMP	1	509	0.2%	No
CNR1		6q15	HOMDEL	1	509	0.2%	No
CNR2		1p36.11	HOMDEL	1	509	0.2%	No
COL1A1		17q21.33	AMP	1	509	0.2%	Yes
COL3A1		2q32.2	HOMDEL	1	509	0.2%	No
COL4A1		13q34	AMP	1	509	0.2%	No
COL4A2		13q34	AMP	1	509	0.2%	No
COL4A3		2q36.3	HOMDEL	1	509	0.2%	No
COL4A4		2q36.3	HOMDEL	1	509	0.2%	No
COL5A2		2q32.2	HOMDEL	1	509	0.2%	No
COL6A1		21q22.3	HOMDEL	1	509	0.2%	No
COL6A2		21q22.3	HOMDEL	1	509	0.2%	No
COL9A1		6q13	HOMDEL	1	509	0.2%	No
COL9A2		1p34.2	AMP	1	509	0.2%	No
COL10A1		6q22.1	HOMDEL	1	509	0.2%	No
COL19A1		6q13	HOMDEL	1	509	0.2%	No
COPA		1q23.2	AMP	1	509	0.2%	No
SLC31A2		9q32	AMP	1	509	0.2%	No
CORT		1p36.22	HOMDEL	1	509	0.2%	No
COX4I1		16q24.1	AMP	1	509	0.2%	No
COX6C		8q22.2	HOMDEL	1	509	0.2%	No
COX7C		5q14.3	AMP	1	509	0.2%	No
COX11		17q22	HOMDEL	1	509	0.2%	No
CPA1		7q32.2	AMP	1	509	0.2%	No
CPA2		7q32.2	AMP	1	509	0.2%	No
CPB2		13q14.13	HOMDEL	1	509	0.2%	No
CPB2		13q14.13	AMP	1	509	0.2%	No
CPD		17q11.2	AMP	1	509	0.2%	No
CPM		12q15	AMP	1	509	0.2%	No
CPS1		2q34	HOMDEL	1	509	0.2%	Yes
CPT2		1p32.3	AMP	1	509	0.2%	No
CR1		1q32.2	AMP	1	509	0.2%	No
CR1L		1q32.2	AMP	1	509	0.2%	No
CRABP2		1q23.1	AMP	1	509	0.2%	No
CRAT		9q34.11	HOMDEL	1	509	0.2%	No
CREB1		2q33.3	HOMDEL	1	509	0.2%	Yes
CRHBP		5q13.3	AMP	1	509	0.2%	No
CRHR1		17q21.31	AMP	1	509	0.2%	No
CRK		17p13.3	AMP	1	509	0.2%	No
CRP		1q23.2	AMP	1	509	0.2%	No
CRX		19q13.33	HOMDEL	1	509	0.2%	No
CRY1		12q23.3	AMP	1	509	0.2%	No
CRY2		11p11.2	AMP	1	509	0.2%	No
CRYAB		11q23.1	HOMDEL	1	509	0.2%	No
CRYAB		11q23.1	AMP	1	509	0.2%	No
CRYBA1		17q11.2	AMP	1	509	0.2%	No
CRYBA2		2q35	HOMDEL	1	509	0.2%	No
CRYBA2		2q35	AMP	1	509	0.2%	No
CRYBB2P1		22q11.23	AMP	1	509	0.2%	No
CRYGA		2q33.3	HOMDEL	1	509	0.2%	No
CRYGB		2q33.3	HOMDEL	1	509	0.2%	No
CRYGC		2q33.3	HOMDEL	1	509	0.2%	No
CRYGD		2q33.3	HOMDEL	1	509	0.2%	No
CSE1L		20q13.13	AMP	1	509	0.2%	No
CSF3		17q21.1	AMP	1	509	0.2%	No
CSH1		17q23.3	AMP	1	509	0.2%	No
CSH2		17q23.3	AMP	1	509	0.2%	No
CSHL1		17q23.3	AMP	1	509	0.2%	No
CSNK1D		17q25.3	AMP	1	509	0.2%	No
CSNK1G2		19p13.3	AMP	1	509	0.2%	No
SLC25A10		17q25.3	AMP	1	509	0.2%	No
CSTA		3q21.1	AMP	1	509	0.2%	No
CSTF3		11p13	AMP	1	509	0.2%	No
CTBP1		4p16.3	HOMDEL	1	509	0.2%	No
CTF1		16p11.2	AMP	1	509	0.2%	No
CCN2		6q23.2	HOMDEL	1	509	0.2%	No
CTLA4		2q33.2	HOMDEL	1	509	0.2%	Yes
CTNNA2		2p12	HOMDEL	1	509	0.2%	No
CTSK		1q21.3	AMP	1	509	0.2%	No
CTSL		9q21.33	AMP	1	509	0.2%	No
CTSLP8		9q22.1	AMP	1	509	0.2%	No
CTSO		4q32.1	HOMDEL	1	509	0.2%	No
CTSS		1q21.3	AMP	1	509	0.2%	No
CUX1		7q22.1	HOMDEL	1	509	0.2%	Yes
CYB5A		18q22.3	HOMDEL	1	509	0.2%	No
CYB5A		18q22.3	AMP	1	509	0.2%	No
CYB561		17q23.3	AMP	1	509	0.2%	No
CYLC1		Xq21.1	AMP	1	509	0.2%	No
CYP1B1		2p22.2	HOMDEL	1	509	0.2%	No
CYP7A1		8q12.1	HOMDEL	1	509	0.2%	No
ADAM3A		8p11.22	AMP	1	509	0.2%	No
CYP24A1		20q13.2	AMP	1	509	0.2%	No
CYP27A1		2q35	HOMDEL	1	509	0.2%	No
CYP27A1		2q35	AMP	1	509	0.2%	No
CYP27B1		12q14.1	AMP	1	509	0.2%	No
DAB1		1p32.2	HOMDEL	1	509	0.2%	No
DGKB		7p21.2	HOMDEL	1	509	0.2%	No
DAPK1		9q21.33	AMP	1	509	0.2%	No
DBP		19q13.33	HOMDEL	1	509	0.2%	No
DCC		18q21.2	AMP	1	509	0.2%	No
ACE		17q23.3	AMP	1	509	0.2%	No
DDOST		1p36.12	HOMDEL	1	509	0.2%	No
DDX3X		Xp11.4	AMP	1	509	0.2%	Yes
DDX5		17q23.3	AMP	1	509	0.2%	Yes
DDX6		11q23.3	HOMDEL	1	509	0.2%	Yes
DDX6		11q23.3	AMP	1	509	0.2%	Yes
DHX8		17q21.31	AMP	1	509	0.2%	No
DDX10		11q22.3	HOMDEL	1	509	0.2%	Yes
DDX10		11q22.3	AMP	1	509	0.2%	Yes
DHX15		4p15.2	AMP	1	509	0.2%	No
DES		2q35	HOMDEL	1	509	0.2%	No
DES		2q35	AMP	1	509	0.2%	No
CFD		19p13.3	HOMDEL	1	509	0.2%	No
CFD		19p13.3	AMP	1	509	0.2%	No
DFFA		1p36.22	HOMDEL	1	509	0.2%	No
DFFB		1p36.32	HOMDEL	1	509	0.2%	No
COCH		14q12	AMP	1	509	0.2%	No
DHFR		5q14.1	AMP	1	509	0.2%	No
DHPS		19p13.13	AMP	1	509	0.2%	No
NQO1		16q22.1	AMP	1	509	0.2%	No
DIAPH2		Xq21.33	HOMDEL	1	509	0.2%	No
DIO1		1p32.3	AMP	1	509	0.2%	No
DLAT		11q23.1	HOMDEL	1	509	0.2%	No
DLAT		11q23.1	AMP	1	509	0.2%	No
DLST		14q24.3	HOMDEL	1	509	0.2%	No
DLX3		17q21.33	AMP	1	509	0.2%	No
DLX4		17q21.33	AMP	1	509	0.2%	No
DMBT1		10q26.13	HOMDEL	1	509	0.2%	No
DMPK		19q13.32	HOMDEL	1	509	0.2%	No
DMRT1		9p24.3	AMP	1	509	0.2%	No
DMWD		19q13.32	HOMDEL	1	509	0.2%	No
DYNC1LI2		16q22.1	AMP	1	509	0.2%	No
DNMT1		19p13.2	HOMDEL	1	509	0.2%	Yes
DPAGT1		11q23.3	HOMDEL	1	509	0.2%	No
DPAGT1		11q23.3	AMP	1	509	0.2%	No
DPT		1q24.2	AMP	1	509	0.2%	No
DRD2		11q23.2	HOMDEL	1	509	0.2%	No
DRD2		11q23.2	AMP	1	509	0.2%	No
DRD3		3q13.31	AMP	1	509	0.2%	No
DRD4		11p15.5	AMP	1	509	0.2%	No
ARID3A		19p13.3	HOMDEL	1	509	0.2%	Yes
ARID3A		19p13.3	AMP	1	509	0.2%	Yes
DSC1		18q12.1	HOMDEL	1	509	0.2%	No
DSC1		18q12.1	AMP	1	509	0.2%	No
DSC2		18q12.1	HOMDEL	1	509	0.2%	No
DSC2		18q12.1	AMP	1	509	0.2%	No
DSC3		18q12.1	HOMDEL	1	509	0.2%	No
DSC3		18q12.1	AMP	1	509	0.2%	No
DSCAM		21q22.2	HOMDEL	1	509	0.2%	No
DSG1		18q12.1	HOMDEL	1	509	0.2%	No
DSG1		18q12.1	AMP	1	509	0.2%	No
DSG2		18q12.1	HOMDEL	1	509	0.2%	No
DSG2		18q12.1	AMP	1	509	0.2%	No
DSG3		18q12.1	HOMDEL	1	509	0.2%	No
DSG3		18q12.1	AMP	1	509	0.2%	No
DTNA		18q12.1	HOMDEL	1	509	0.2%	No
DTNA		18q12.1	AMP	1	509	0.2%	No
DUSP3		17q21.31	AMP	1	509	0.2%	No
DVL1		1p36.33	HOMDEL	1	509	0.2%	No
DYRK1A		21q22.13	HOMDEL	1	509	0.2%	No
TOR1A		9q34.11	HOMDEL	1	509	0.2%	No
E2F2		1p36.12	HOMDEL	1	509	0.2%	No
E2F4		16q22.1	AMP	1	509	0.2%	No
GPR183		13q32.3	AMP	1	509	0.2%	No
ECE1		1p36.12	HOMDEL	1	509	0.2%	No
ECM1		1q21.2	AMP	1	509	0.2%	No
PHC1		12p13.31	HOMDEL	1	509	0.2%	No
EEF1A1		6q13	HOMDEL	1	509	0.2%	No
EEF1A2		20q13.33	HOMDEL	1	509	0.2%	No
EEF1B2		2q33.3	HOMDEL	1	509	0.2%	No
EEF1G		11q12.3	HOMDEL	1	509	0.2%	No
EFNA1		1q22	AMP	1	509	0.2%	No
EFNA2		19p13.3	HOMDEL	1	509	0.2%	No
EFNA3		1q21.3	AMP	1	509	0.2%	No
EFNA4		1q21.3	AMP	1	509	0.2%	No
EFNB2		13q33.3	AMP	1	509	0.2%	No
MEGF6		1p36.32	HOMDEL	1	509	0.2%	No
MEGF8		19q13.2	AMP	1	509	0.2%	No
EIF2S1		14q23.3	AMP	1	509	0.2%	No
EPHA2		1p36.13	HOMDEL	1	509	0.2%	No
EIF4EBP1		8p11.23	AMP	1	509	0.2%	No
ELANE		19p13.3	HOMDEL	1	509	0.2%	No
ELANE		19p13.3	AMP	1	509	0.2%	No
ELAVL2		9p21.3	HOMDEL	1	509	0.2%	No
ELAVL1		19p13.2	HOMDEL	1	509	0.2%	No
ELAVL3		19p13.2	AMP	1	509	0.2%	No
ELAVL4		1p33-p32.3	AMP	1	509	0.2%	No
ELF1		13q14.11	HOMDEL	1	509	0.2%	No
ELF3		1q32.1	AMP	1	509	0.2%	Yes
ELF5		11p13	AMP	1	509	0.2%	No
MARK2		11q13.1	AMP	1	509	0.2%	No
EMP2		16p13.13	HOMDEL	1	509	0.2%	No
EMP3		19q13.33	HOMDEL	1	509	0.2%	No
ADGRE1		19p13.3-p13.2	HOMDEL	1	509	0.2%	No
ENDOG		9q34.11	HOMDEL	1	509	0.2%	No
ENO1		1p36.23	HOMDEL	1	509	0.2%	No
ENSA		1q21.3	AMP	1	509	0.2%	No
EPAS1		2p21	HOMDEL	1	509	0.2%	Yes
EPB41		1p35.3	HOMDEL	1	509	0.2%	No
EPB41L1		20q11.23	AMP	1	509	0.2%	No
EPB41L2		6q23.1-q23.2	HOMDEL	1	509	0.2%	No
EPB42		15q15.2	HOMDEL	1	509	0.2%	No
EPHA3		3p11.1	HOMDEL	1	509	0.2%	Yes
EPHA3		3p11.1	AMP	1	509	0.2%	Yes
EPHA4		2q36.1	HOMDEL	1	509	0.2%	No
EPHA7		6q16.1	HOMDEL	1	509	0.2%	Yes
EPHA8		1p36.12	HOMDEL	1	509	0.2%	No
EPHB1		3q22.2	HOMDEL	1	509	0.2%	Yes
EPHB2		1p36.12	HOMDEL	1	509	0.2%	No
EPHX1		1q42.12	AMP	1	509	0.2%	No
EPRS		1q41	AMP	1	509	0.2%	No
ERBB2		17q12	AMP	1	509	0.2%	Yes
ERBB4		2q34	HOMDEL	1	509	0.2%	Yes
ERCC1		19q13.32	HOMDEL	1	509	0.2%	No
ERCC2		19q13.32	HOMDEL	1	509	0.2%	Yes
EREG		4q13.3	AMP	1	509	0.2%	No
EYA4		6q23.2	HOMDEL	1	509	0.2%	No
ERCC5		13q33.1	AMP	1	509	0.2%	Yes
ERF		19q13.2	AMP	1	509	0.2%	Yes
ERG		21q22.2	HOMDEL	1	509	0.2%	Yes
ERN1		17q23.3	AMP	1	509	0.2%	No
ERV3-1		7q11.21	AMP	1	509	0.2%	No
ESD		13q14.2	HOMDEL	1	509	0.2%	No
ESD		13q14.2	AMP	1	509	0.2%	No
ESR1		6q25.1-q25.2	HOMDEL	1	509	0.2%	Yes
ESR2		14q23.2-q23.3	AMP	1	509	0.2%	No
ESRRB		14q24.3	AMP	1	509	0.2%	No
ESRRG		1q41	AMP	1	509	0.2%	No
ETFB		19q13.41	HOMDEL	1	509	0.2%	No
ETS1		11q24.3	HOMDEL	1	509	0.2%	Yes
ETS1		11q24.3	AMP	1	509	0.2%	Yes
ETV3		1q23.1	AMP	1	509	0.2%	No
ETV4		17q21.31	AMP	1	509	0.2%	Yes
EVI2A		17q11.2	AMP	1	509	0.2%	No
EVI2B		17q11.2	AMP	1	509	0.2%	No
EVPL		17q25.1	AMP	1	509	0.2%	No
EXT1		8q24.11	HOMDEL	1	509	0.2%	Yes
EXT2		11p11.2	AMP	1	509	0.2%	Yes
